CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V99790,171,0.005,0.04,4.572,0.518,0.069,0.04,347,49,1387,10,4,0.009
V99791,161,0.005,0.035,4.58,0.559,0.07,0.041,361,45,1386,10,4,0.007
V99789,170,0.005,0.042,4.59,0.468,0.044,0.036,355,52,1368,9,4,0.013
V99787,159,0.005,0.034,4.53,0.737,0.077,0.04,313,44,1401,9,4,0.01
V99782,162,0.005,0.042,4.56,0.443,0.056,0.037,360,55,1346,10,5,0.013
V99781,165,0.005,0.035,4.52,0.48,0.056,0.037,323,49,1407,9,4,0.01
V99779,167,0.005,0.04,4.56,0.63,0.069,0.037,349,51,1395,10,5,0.009
V99778,163,0.005,0.04,4.56,0.547,0.057,0.036,346,78,1373,9,5,0.012
V99777,164,0.005,0.05,4.5,0.397,0.049,0.037,373,72,1386,11,7,0.004
V99776,162,0.005,0.039,4.52,0.622,0.069,0.04,344,56,1357,9,5,0.007
V99775,179,0.005,0.038,4.55,0.683,0.067,0.04,337,53,1436,10,5,0.005
V99774,172,0.005,0.038,4.54,0.43,0.053,0.038,313,57,1339,9,6,0.007
V99773,173,0.005,0.037,4.52,0.39,0.046,0.035,320,50,1390,8,5,0.012
V99772,175,0.005,0.039,4.54,0.46,0.054,0.035,318,54,1401,9,5,0.014
V99771,178,0.005,0.038,4.52,0.61,0.056,0.036,347,52,1429,10,5,0.011
V99770,175,0.005,0.036,4.53,0.47,0.058,0.035,410,62,1364,11,9,0.005
V99769,174,0.005,0.038,4.54,0.44,0.056,0.034,313,56,1330,9,6,0.008
V99768,166,0.005,0.036,4.51,0.55,0.064,0.034,328,50,1369,9,5,0.009
V99767,165,0.005,0.033,4.52,0.42,0.052,0.036,313,50,1390,8,5,0.009
V99766,165,0.005,0.032,4.51,0.32,0.04,0.037,292,52,1385,8,5,0.01
V99765,166,0.005,0.034,4.56,0.38,0.049,0.038,315,45,1406,9,5,0.009
V99763,163,0.005,0.036,4.52,0.7,0.075,0.039,309,49,1396,9,5,0.008
V99762,163,0.005,0.047,4.55,0.767,0.068,0.039,377,54,1435,11,5,0.008
V99761,160,0.005,0.04,4.52,0.591,0.064,0.039,345,58,1423,9,6,0.01
V99759,166,0.005,0.034,4.55,0.363,0.05,0.041,323,46,1396,9,6,0.01
V99758,167,0.005,0.038,4.55,0.381,0.051,0.04,334,50,1381,9,5,0.008
V99757,168,0.005,0.037,4.565,0.756,0.074,0.041,333,51,1398,9,5,0.009
V99756,173,0.005,0.042,4.55,0.835,0.081,0.04,354,50,1389,10,6,0.007
